馬名,金額(Pt),毛色,成長,馬場,脚質,ＳＰ,ＳＴ,根性,瞬発,気性,体質,距離(下限),距離(上限),隠し,三冠,系統,①父,因子,系統,母,系統,②父父,因子,系統,父母,系統,③母父,因子,系統,母母,系統,④父父父,因子,系統,父父母,系統,⑤父母父,因子,系統,父母母,系統,⑥母父父,因子,系統,母父母,系統,⑦母母父,因子,系統,母母母,系統,⑧父父父父,因子,系統,⑨父父母父,因子,系統,⑩父母父父,因子,系統,⑪父母母父,因子,系統,⑫母父父父,因子,系統,⑬母父母父,因子,系統,⑭母母父父,因子,系統,⑮母母母父,因子,系統
エアグルーヴ,40000,鹿毛,早め,芝,先,A+,S,A+,A+,S,S,1800,2400,セリ,,ゼダーン,トニービン,sp1st1,ゼダーン,ダイナカール,ノーザンテースト,カンパラ,st1,ゼダーン,Severn Bridge,ハイペリオン,ノーザンテースト,st1kon1,ノーザンテースト,シャダイフェザー,エクリプス,Kalamoun,st1,ゼダーン,State Pension,エクリプス,Hornbeam,kon1,ハイペリオン,Priddy Fair,マッチェム,Northern Dancer,st2kon1,ノーザンダンサー,Lady Victoria,テディ,ガーサント,st1,エクリプス,パロクサイド,ナスルーラ,ゼダーン,st1,ゼダーン,オンリーフォアライフ,sp1,エクリプス,Hyperion,sp2sy1,ハイペリオン,Preciptic,kon1,マッチェム,Nearctic,sp1st1,ニアークティック,Victoria Park,st1,テディ,Bubbles,#N/A,エクリプス,Never Say Die,#N/A,ナスルーラ
Tepin,40000,鹿毛,遅め,芝,先,S+,A,B+,S+,S,S,1000,1600,★,,ストームキャット,Bernstein,#N/A,ストームキャット,Life Happened,ヌレイエフ,Storm Cat,sp2sy1,ストームキャット,La Affirmed,レイズアネイティヴ,ストラヴィンスキー,#N/A,ヌレイエフ,Round It Off,プリンスローズ,Storm Bird,sp1kon1,ストームバード,Terlingua,ボールドルーラー,Affirmed,sy1,レイズアネイティヴ,La Mesa,プリンスローズ,Nureyev,sp2kon1,ヌレイエフ,Fire the Groom,ブラッシンググルーム,Apalachee,#N/A,プリンスローズ,Capp It Off,ヒムヤー,Northern Dancer,st2kon1,ノーザンダンサー,Secretariat,sp2,ボールドルーラー,Exclusive Native,sp1,レイズアネイティヴ,Round Table,sp1,プリンスローズ,Northern Dancer,st2kon1,ノーザンダンサー,Blushing Groom,sp2,ブラッシンググルーム,Round Table,sp1,プリンスローズ,Double Zeus,#N/A,ヒムヤー
Beholder,40000,鹿毛,持続,ダ,自,S,A+,A,S,S,S,1400,2000,★,,ストームキャット,ヘニーヒューズ,st1,ストームキャット,Meadow Flyer,プリンスローズ,Hennessy,st1,ストームキャット,Meadow Flyer,プリンスローズ,Meadowlake,kon1,プリンスローズ,Shortley,マンノウォー,Storm Cat,sp2sy1,ストームキャット,Island Kitty,ネアルコ,Meadowlake,kon1,プリンスローズ,Shortley,マンノウォー,Hold Your Peace,sp1,プリンスローズ,Suspicious Native,レイズアネイティヴ,Hagley,st1,マンノウォー,Short Winded,ナスルーラ,Storm Bird,sp1kon1,ストームバード,Hawaii,sp1,ネアルコ,Hold Your Peace,sp1,プリンスローズ,Hagley,st1,マンノウォー,Speak John,sp1,プリンスローズ,Raise a Native,sp2sy1,レイズアネイティヴ,Olden Times,st1,マンノウォー,Harvest Singing,sy1,ナスルーラ
Rachel Alexandra,40000,鹿毛,早め,ダ,自,S,A+,A,S,S,S,1400,2000,★,,サドラーズウェルズ,Medaglia d'Oro,sp1sy1,サドラーズウェルズ,Lotta Kim,フォーティナイナー,El Prado,sp1,サドラーズウェルズ,Cappucino Bay,ダマスカス,Roar,#N/A,フォーティナイナー,Kim's Blues,ヘイルトゥリーズン,Sadler's Wells,st2kon1,サドラーズウェルズ,Lady Capulet,サーゲイロード,Bailjumper,st1,ダマスカス,Dubbed In,プリンスローズ,フォーティナイナー,sp1sy1,フォーティナイナー,Wild Applause,ノーザンダンサー,Cure the Blues,st1,ヘイルトゥリーズン,Early Decision,サーゲイロード,Northern Dancer,st2kon1,ノーザンダンサー,Sir Ivor,sp1kon1,サーゲイロード,Damascus,sp2sy1,ダマスカス,Silent Screen,kon1,プリンスローズ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Northern Dancer,st2kon1,ノーザンダンサー,Stop the Music,kon1,ヘイルトゥリーズン,Lord Gaylord,#N/A,サーゲイロード
Songbird,40000,黒鹿毛,早め,ダ,逃,S,A+,A,S,S,S,1400,2000,★,,サドラーズウェルズ,Medaglia d'Oro,sp1sy1,サドラーズウェルズ,Ivanavinalot,フォーティナイナー,El Prado,sp1,サドラーズウェルズ,Cappucino Bay,ダマスカス,West Acre,#N/A,フォーティナイナー,Beaty Sark,デピュティミニスター,Sadler's Wells,st2kon1,サドラーズウェルズ,Lady Capulet,サーゲイロード,Bailjumper,st1,ダマスカス,Dubbed In,プリンスローズ,フォーティナイナー,sp1sy1,フォーティナイナー,Narrate,ボールドルーラー,Deputy Minister,st1,デピュティミニスター,Torsion Belle,ネヴァーベンド,Northern Dancer,st2kon1,ノーザンダンサー,Sir Ivor,sp1kon1,サーゲイロード,Damascus,sp2sy1,ダマスカス,Silent Screen,kon1,プリンスローズ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Honest Pleasure,kon1,ボールドルーラー,Vice Regent,sp1,ノーザンダンサー,Torsion,#N/A,ネヴァーベンド
Sunline,40000,鹿毛,遅め,芝,逃,S,A+,A,S,S,S,1400,2000,★,,グリーンデザート,Desert Sun,#N/A,グリーンデザート,Songline,ニジンスキー,Green Desert,sp2sy1,グリーンデザート,Solar,ファラリス,Western Symphony,#N/A,ニジンスキー,Mcangus,ハイペリオン,Danzig,sp2sy1,ダンチヒ,Foreign Courier,サーゲイロード,Hotfoot,#N/A,ファラリス,L'Anguissola,ブランドフォード,Nijinsky,sp2st1,ニジンスキー,Millicent,ボールドルーラー,Alvaro,#N/A,ハイペリオン,Honey Carlyle,フェアウェイ,Northern Dancer,st2kon1,ノーザンダンサー,Sir Ivor,sp1kon1,サーゲイロード,Firestreak,#N/A,ファラリス,Soderini,#N/A,ブランドフォード,Northern Dancer,st2kon1,ノーザンダンサー,Cornish Prince,kon1,ボールドルーラー,Rockefella,#N/A,ハイペリオン,Better Honey,#N/A,フェアウェイ
Winning Colors,40000,芦毛,早め,ダ,逃,S,A+,A,S,S,S,1400,2000,★,,カロ,Caro,sp2sy1,カロ,All Rainbows,ボールドルーラー,フォルティノ,sp1sy1,グレイソヴリン,Chambord,マッチェム,Bold Hour,#N/A,ボールドルーラー,Miss Carmie,ナスルーラ,Grey Sovereign,#N/A,グレイソヴリン,Ranavalo,マンノウォー,Chamossaire,#N/A,マッチェム,Life Hill,ハンプトン,Bold Ruler,sp2sy1,ボールドルーラー,Seven Thirty,ヒムヤー,T.V. Lark,#N/A,ナスルーラ,Twice Over,ハイペリオン,Nasrullah,sp2sy1,ナスルーラ,Relic,#N/A,マンノウォー,Precipitation,#N/A,マッチェム,Solario,#N/A,ハンプトン,Nasrullah,sp2sy1,ナスルーラ,Mr. Music,#N/A,ヒムヤー,Indian Hemp,#N/A,ナスルーラ,Ponder,#N/A,ハイペリオン
Rags to Riches,40000,栗毛,早め,ダ,自,A+,S,A+,A+,S,S,1800,2400,★,,エーピーインディ,A.P. Indy,sp1st1,エーピーインディ,Better Than Honour,デピュティミニスター,Seattle Slew,sp1sy1,シアトルスルー,Weekend Surprise,ボールドルーラー,Deputy Minister,st1,デピュティミニスター,Blush With Pride,ブラッシンググルーム,Bold Reasoning,sp1,ボールドルーラー,My Charmer,プリンスローズ,Secretariat,sp2,ボールドルーラー,Lassie Dear,トムフール,Vice Regent,sp1,ノーザンダンサー,Mint Copy,ハンプトン,Blushing Groom,sp2,ブラッシンググルーム,Best in Show,ハイペリオン,Boldnesian,sp1,ボールドルーラー,Poker,sp1,プリンスローズ,Bold Ruler,sp2sy1,ボールドルーラー,Buckpasser,st1,トムフール,Northern Dancer,st2kon1,ノーザンダンサー,Bunty's Flight,kon1,ハンプトン,Red God,sp2,レッドゴッド,Traffic Judge,#N/A,ハイペリオン
メジロラモーヌ,30000,青鹿毛,早め,芝,先,A+,A+,A+,A+,A+,A+,1800,2400,セリ,●,リファール,モガミ,st1,リファール,メジロヒリュウ,ナスルーラ,Lyphard,sp2sy1,リファール,ノーラック,スインフォード,ネヴァービート,sp1,ナスルーラ,アマゾンウォリアー,ハイペリオン,Northern Dancer,st2kon1,ノーザンダンサー,Goofed,フェアウェイ,Lucky Debonair,#N/A,スインフォード,No Teasing,テディ,Never Say Die,#N/A,ナスルーラ,Bride Elect,ブランドフォード,Khaled,sy1,ハイペリオン,War Betsy,マンノウォー,Nearctic,sp1st1,ニアークティック,Court Martial,st1,フェアウェイ,Vertex,#N/A,スインフォード,Palestinian,#N/A,テディ,Nasrullah,sp2sy1,ナスルーラ,Big Game,#N/A,ブランドフォード,Hyperion,sp2sy1,ハイペリオン,War Relic,#N/A,マンノウォー
スティルインラブ,30000,栗毛,早め,芝,差,A+,A+,A+,A+,A+,A+,1800,2400,セリ,●,サンデーサイレンス,サンデーサイレンス,sp1st1,サンデーサイレンス,ブラダマンテ,ロベルト,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Roberto,st2kon1,ロベルト,Sulemeif,ノーザンダンサー,Hail to Reason,sp1,ヘイルトゥリーズン,Cosmah,ファラリス,Understanding,sp1,テディ,Mountain Flower,ハイペリオン,Hail to Reason,sp1,ヘイルトゥリーズン,Bramalea,ナスルーラ,Northern Dancer,st2kon1,ノーザンダンサー,Barely Even,ハイペリオン,Turn-to,sp2sy1,ロイヤルチャージャー,Cosmic Bomb,sy1,ファラリス,Promised Land,st1,テディ,Montparnasse,kon1,ハイペリオン,Turn-to,sp2sy1,ロイヤルチャージャー,Nashua,sp2sy1,ナスルーラ,Nearctic,sp1st1,ニアークティック,Creme dela Creme,#N/A,ハイペリオン
アパパネ,30000,鹿毛,早め,芝,差,A+,A+,A+,A+,A+,A+,1800,2400,セリ,●,キングカメハメハ,キングカメハメハ,st1kon1,キングカメハメハ,ソルティビッド,デピュティミニスター,Kingmambo,st1kon1,ミスタープロスペクター,マンファス,ノーザンダンサー,Salt Lake,#N/A,デピュティミニスター,Piper Piper,ボールドルーラー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Miesque,ヌレイエフ,ラストタイクーン,sp1,ノーザンダンサー,Pilot Bird,トウルビヨン,Deputy Minister,st1,デピュティミニスター,Take Lady Anne,マンノウォー,Spectacular Bid,st1,ボールドルーラー,Alvarada,オーエンテューダー,Raise a Native,sp2sy1,レイズアネイティヴ,Nureyev,sp2kon1,ヌレイエフ,トライマイベスト,sy1,ノーザンダンサー,Blakeney,sy1,トウルビヨン,Vice Regent,sp1,ノーザンダンサー,Queen City Lad,#N/A,マンノウォー,Bold Bidder,sp1,ボールドルーラー,Hard Work,sp1,オーエンテューダー
デアリングタクト,30000,青鹿毛,早熟,芝,差,A+,A+,A+,A+,A+,A+,1800,2400,セリ,●,ロベルト,エピファネイア,sp1kon1,ロベルト,デアリングバード,キングカメハメハ,シンボリクリスエス,st1kon1,ロベルト,シーザリオ,サンデーサイレンス,キングカメハメハ,st1kon1,キングカメハメハ,デアリングハート,サンデーサイレンス,Kris S.,st1kon1,ロベルト,Tee Kay,シアトルスルー,スペシャルウィーク,st2sy1,サンデーサイレンス,キロフプリミエール,サドラーズウェルズ,Kingmambo,st1kon1,ミスタープロスペクター,マンファス,ノーザンダンサー,サンデーサイレンス,sp1st1,サンデーサイレンス,デアリングダンジグ,ダンチヒ,Roberto,st2kon1,ロベルト,Gold Meridian,sp1,シアトルスルー,サンデーサイレンス,sp1st1,サンデーサイレンス,Sadler's Wells,st2kon1,サドラーズウェルズ,Mr. Prospector,sp2sy1,ミスタープロスペクター,ラストタイクーン,sp1,ノーザンダンサー,Halo,sp2sy1,ヘイルトゥリーズン,Danzig,sp2sy1,ダンチヒ
ヒシアマゾン,30000,黒鹿毛,早め,芝,追,A+,A+,A+,A+,A+,A+,1800,2400,セリ,,ヌレイエフ,Theatrical,sp1sy1,ヌレイエフ,Katies,ニアークティック,Nureyev,sp2kon1,ヌレイエフ,ツリーオブノレッジ,マッチェム,ノノアルコ,sp2sy1,ニアークティック,Mortefontaine,マンノウォー,Northern Dancer,st2kon1,ノーザンダンサー,Special,ハイペリオン,Sassafras,#N/A,マッチェム,Sensibility,ヘイルトゥリーズン,Nearctic,sp1st1,ニアークティック,Seximee,テディ,ポリック,#N/A,マンノウォー,Brabantia,フェアウェイ,Nearctic,sp1st1,ニアークティック,Forli,sp1,ハイペリオン,Sheshoon,#N/A,マッチェム,Hail to Reason,sp1,ヘイルトゥリーズン,Nearco,sp2st1,ネアルコ,Hasty Road,kon1,テディ,Relic,#N/A,マンノウォー,Honeyway,#N/A,フェアウェイ
グランアレグリア,30000,鹿毛,早め,芝,差,S+,B+,B+,S+,A+,A+,1000,1600,セリ,,ディープインパクト,ディープインパクト,sp2sy1,ディープインパクト,タピッツフライ,エーピーインディ,サンデーサイレンス,sp1st1,サンデーサイレンス,ウインドインハーヘア,リファール,Tapit,sp1sy1,エーピーインディ,Flying Marlin,ニジンスキー,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Alzao,sp1,リファール,Burghclere,ブランドフォード,Pulpit,st2,エーピーインディ,Tap Your Heels,ファピアノ,Marlin,#N/A,ニジンスキー,Morning Dove,ミスタープロスペクター,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Lyphard,sp2sy1,リファール,Busted,sp1,ブランドフォード,A.P. Indy,sp1st1,エーピーインディ,Unbridled,sp1,ファピアノ,Sword Dance,#N/A,ニジンスキー,Fortunate Prospect,#N/A,ミスタープロスペクター
ブエナビスタ,30000,黒鹿毛,早め,芝,差,A+,A+,A+,A+,A+,A+,1800,2400,セリ,,サンデーサイレンス,スペシャルウィーク,st2sy1,サンデーサイレンス,ビワハイジ,ニジンスキー,サンデーサイレンス,sp1st1,サンデーサイレンス,キャンペンガール,ニジンスキー,Caerleon,sp2sy1,ニジンスキー,アグサン,サーゲイロード,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,マルゼンスキー,sp2,ニジンスキー,レディーシラオキ,ハイペリオン,Nijinsky,sp2st1,ニジンスキー,Foreseer,プリンスローズ,Lord Gayle,#N/A,サーゲイロード,Santa Luciana,オーエンテューダー,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Nijinsky,sp2st1,ニジンスキー,セントクレスピン,st1,ハイペリオン,Northern Dancer,st2kon1,ノーザンダンサー,Round Table,sp1,プリンスローズ,Sir Gaylord,sp2kon1,サーゲイロード,Luciano,kon1,オーエンテューダー
ソダシ,30000,白毛,早め,万,先,S,A,A,S,A+,A+,1400,2000,セリ,,デピュティミニスター,クロフネ,st1,デピュティミニスター,ブチコ,キングカメハメハ,フレンチデピュティ,st1,デピュティミニスター,ブルーアヴェニュー,フェアウェイ,キングカメハメハ,st1kon1,キングカメハメハ,シラユキヒメ,サンデーサイレンス,Deputy Minister,st1,デピュティミニスター,Mitterand,プリンスローズ,Classic Go Go,kon1,フェアウェイ,Eliza Blue,ニアークティック,Kingmambo,st1kon1,ミスタープロスペクター,マンファス,ノーザンダンサー,サンデーサイレンス,sp1st1,サンデーサイレンス,ウェイブウインド,ノーザンダンサー,Vice Regent,sp1,ノーザンダンサー,Hold Your Peace,sp1,プリンスローズ,Pago Pago,kon1,フェアウェイ,Icecapade,sp1,ニアークティック,Mr. Prospector,sp2sy1,ミスタープロスペクター,ラストタイクーン,sp1,ノーザンダンサー,Halo,sp2sy1,ヘイルトゥリーズン,Topsider,#N/A,ノーザンダンサー
シーザリオ,30000,青鹿毛,早め,芝,先,A+,A+,A+,A+,A+,A+,1800,2400,セリ,,サンデーサイレンス,スペシャルウィーク,st2sy1,サンデーサイレンス,キロフプリミエール,サドラーズウェルズ,サンデーサイレンス,sp1st1,サンデーサイレンス,キャンペンガール,ニジンスキー,Sadler's Wells,st2kon1,サドラーズウェルズ,Querida,サーゲイロード,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,マルゼンスキー,sp2,ニジンスキー,レディーシラオキ,ハイペリオン,Northern Dancer,st2kon1,ノーザンダンサー,Fairy Bridge,ヘイルトゥリーズン,Habitat,sp2,サーゲイロード,Principia,セントサイモン,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Nijinsky,sp2st1,ニジンスキー,セントクレスピン,st1,ハイペリオン,Nearctic,sp1st1,ニアークティック,Bold Reason,#N/A,ヘイルトゥリーズン,Sir Gaylord,sp2kon1,サーゲイロード,Le Fabuleux,kon1,セントサイモン
ダイワスカーレット,30000,栗毛,早め,芝,先,A+,A+,A+,A+,A+,A+,1800,2400,セリ,,サンデーサイレンス,アグネスタキオン,#N/A,サンデーサイレンス,スカーレットブーケ,ノーザンテースト,サンデーサイレンス,sp1st1,サンデーサイレンス,アグネスフローラ,ボールドルーラー,ノーザンテースト,st1kon1,ノーザンテースト,スカーレットインク,ヒムヤー,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,ロイヤルスキー,#N/A,ボールドルーラー,アグネスレディー,ブランドフォード,Northern Dancer,st2kon1,ノーザンダンサー,Lady Victoria,テディ,Crimson Satan,kon1,ヒムヤー,Consentida,テディ,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Raja Baba,#N/A,ボールドルーラー,リマンド,sy1,ブランドフォード,Nearctic,sp1st1,ニアークティック,Victoria Park,st1,テディ,Spy Song,sy1,ヒムヤー,Beau Max,kon1,テディ
ビットコイン,30000,栗毛,早め,芝,先,A,S,S,A,A+,A+,2200,2800,セリ,,ボールドルーラー,Secretariat,sp2,ボールドルーラー,Lassie Dear,トムフール,Bold Ruler,sp2sy1,ボールドルーラー,Somethingroyal,プリンスローズ,Buckpasser,st1,トムフール,Gay Missile,サーゲイロード,Nasrullah,sp2sy1,ナスルーラ,MissDisco,マッチェム,Princequillo,sp1sy1,プリンスローズ,Imperatrice,ベンドア,Tom Fool,st2kon1,トムフール,Busanda,マンノウォー,Sir Gaylord,sp2kon1,サーゲイロード,Missy Baba,トウルビヨン,Nearco,sp2st1,ネアルコ,Discovery,#N/A,マッチェム,Prince Rose,sp2sy1,プリンスローズ,Caruso,#N/A,ベンドア,Menow,st1,ファラリス,War Admiral,sp1,マンノウォー,Turn-to,sp2sy1,ロイヤルチャージャー,My Babu,#N/A,トウルビヨン
クロノジェネシス,30000,芦毛,早め,芝,先,A+,A+,A+,A+,A+,A+,1800,2400,セリ,,ブラッシンググルーム,バゴ,st1kon1,ブラッシンググルーム,クロノロジスト,デピュティミニスター,Nashwan,sp1sy1,ブラッシンググルーム,Moonlight's Box,ヌレイエフ,クロフネ,st1,デピュティミニスター,インディスユニゾン,サンデーサイレンス,Blushing Groom,sp2,ブラッシンググルーム,Height of Fashion,ブランドフォード,Nureyev,sp2kon1,ヌレイエフ,Coup de Genie,ミスタープロスペクター,フレンチデピュティ,st1,デピュティミニスター,ブルーアヴェニュー,フェアウェイ,サンデーサイレンス,sp1st1,サンデーサイレンス,ラスティックベル,ミスタープロスペクター,Red God,sp2,レッドゴッド,Bustino,sp1,ブランドフォード,Northern Dancer,st2kon1,ノーザンダンサー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Deputy Minister,st1,デピュティミニスター,Classic Go Go,kon1,フェアウェイ,Halo,sp2sy1,ヘイルトゥリーズン,Mr. Prospector,sp2sy1,ミスタープロスペクター
